name,address,exist_2012,exist_2013,exist_2014,exist_2015,exist_2016,exist_2017,exist_2018,change_2013,change_2014,change_2015,change_2016,change_2017,change_2018
"""FOOD APPEAL.CA INC.""",222 ISLINGTON AVE,0,0,0,0,1,0,0,0,0,0,1,1,0
(FAMOUS PLAYERS )CINEPLEX ENTERTAINMENT,2190 YONGE ST,0,0,1,0,0,0,0,0,1,1,0,0,0
0109 DESSERT + CHOCOLATE,2190 MCNICOLL AVE,0,0,1,1,0,0,0,0,1,0,1,0,0
1 PLUS 1 PIZZA,361 OAKWOOD AVE,0,0,1,1,1,1,1,0,1,0,0,0,0
1 PLUS 2 PIZZA AND WING,3260 DUNDAS ST W,1,1,1,1,1,0,0,0,0,0,0,1,0
1 PLUS 2 PIZZA AND WINGS,1540 DANFORTH AVE,1,1,1,1,0,0,0,0,0,0,1,0,0
1 PLUS 3 PIZZA AND WINGS,1798 JANE ST,1,1,1,1,1,0,0,0,0,0,0,1,0
100 HUMBER COLLEGE CAFE,100 HUMBER COLLEGE BLVD,1,1,1,1,0,0,0,0,0,0,1,0,0
100 KM FOODS INC.,4478 CHESSWOOD DR,1,0,0,0,0,0,0,1,0,0,0,0,0
100 POR SIENTO SALVADORENO,404 OLD WESTON RD,0,0,0,0,1,0,0,0,0,0,1,1,0
100% KOREAN,109 RAVEL RD,1,1,0,0,0,0,0,0,1,0,0,0,0
100% KOREAN,4779 STEELES AVE E,0,0,0,0,1,1,1,0,0,0,1,0,0
100% SALVA DO RENO,612 TRETHEWEY DR,0,0,0,0,0,1,1,0,0,0,0,1,0
1000 VARIETY,1000 PAPE AVE,0,1,1,1,1,1,0,1,0,0,0,0,1
10733440 CANADA INC,30 THORNCLIFFE PARK DR,0,0,0,0,0,0,1,0,0,0,0,0,1
10TATION EVENT CATERING,232 NORSEMAN ST,1,1,1,1,1,1,1,0,0,0,0,0,0
118 CAFE,1315 FINCH AVE W,0,0,0,0,0,0,1,0,0,0,0,0,1
118 TROPICAL DESIRE,360 OLD WESTON RD,1,1,1,1,1,0,0,0,0,0,0,1,0
12 FORTY EIGHT,1248 ST CLAIR AVE W,1,1,1,1,1,1,0,0,0,0,0,0,1
12 OLUNCH,177 DUNDAS ST W,1,1,0,0,0,0,0,0,1,0,0,0,0
12 TABLES,1552 AVENUE RD,0,0,0,0,0,1,0,0,0,0,0,1,1
120 DINER,120 CHURCH ST,0,0,1,1,1,1,1,0,1,0,0,0,0
123 JUICE,123 QUEEN ST W,0,0,0,0,1,0,0,0,0,0,1,1,0
123 PIZZA,1172 BLOOR ST W,1,1,0,0,0,0,0,0,1,0,0,0,0
1369 DUNDAS ST WEST,1369 DUNDAS ST W,0,1,1,1,1,0,0,1,0,0,0,1,0
149 TYNDALL HOUSE,149 TYNDALL AVE,0,1,1,1,1,1,1,1,0,0,0,0,0
14TH DIVISION TORONTO POLICE,150 HARRISON ST,1,0,0,0,0,0,0,1,0,0,0,0,0
17 STEPS RESTAURANT AND BAR,2241 BLOOR ST W,1,1,0,0,0,0,0,0,1,0,0,0,0
177511 ONTARIO LTD BAKERY,2242 KINGSTON RD,0,1,0,0,0,0,0,1,1,0,0,0,0
1775111 ONTARIO LIMITED,2242 KINGSTON RD,0,0,0,0,1,1,1,0,0,0,1,0,0
18 SMOKE SHOP AND VARIETY,222 SPADINA AVE,1,1,1,1,1,1,1,0,0,0,0,0,0
180SECONDI,21 ST CLAIR AVE W,0,0,0,1,1,0,0,0,0,1,0,1,0
1810 DANFORTH AVENUE SOCIAL CLUB,1810 DANFORTH AVE,0,1,1,1,1,1,1,1,0,0,0,0,0
1812,550 WELLINGTON ST W,0,0,1,1,1,1,0,0,1,0,0,0,1
1858  CAFE,22 ADELAIDE ST W,0,0,0,0,1,0,0,0,0,0,1,1,0
187 DUNN,187 DUNN AVE,0,1,1,1,1,1,1,1,0,0,0,0,0
1871 BERKELEY CHURCH,315 QUEEN ST E,0,0,0,0,0,0,1,0,0,0,0,0,1
1903,96 OSSINGTON AVE,0,0,0,0,1,0,0,0,0,0,1,1,0
1915 LANZHOU RAMEN,185 DUNDAS ST W,0,0,0,0,1,1,1,0,0,0,1,0,0
1945261 ONTARIO INC,372 PACIFIC AVE,0,0,0,1,0,0,0,0,0,1,1,0,0
19TH HOLE GRILL,550 CENTENNIAL PARK BLVD,1,1,1,1,1,1,0,0,0,0,0,0,1
19TH HOLE SPORTS BAR AND GRILL,434 ROGERS RD,1,1,1,1,1,1,1,0,0,0,0,0,0
2 4 1 PIZZA,1 YORK GATE BLVD,1,1,1,1,1,1,0,0,0,0,0,0,1
2 4 1 PIZZA,1016 GERRARD ST E,1,1,1,1,1,1,1,0,0,0,0,0,0
2 4 1 PIZZA,1050 PAPE AVE,1,1,1,1,1,1,1,0,0,0,0,0,0
2 4 1 PIZZA,1349 ST CLAIR AVE W,1,1,1,1,1,0,0,0,0,0,0,1,0
2 4 1 PIZZA,1383 DAVENPORT RD,1,1,1,1,1,1,1,0,0,0,0,0,0
2 4 1 PIZZA,1468 QUEEN ST W,1,1,1,1,1,1,1,0,0,0,0,0,0
2 4 1 PIZZA,1756 LAWRENCE AVE E,1,1,1,1,1,1,1,0,0,0,0,0,0
2 4 1 PIZZA,1986 WESTON RD,1,1,1,0,0,0,0,0,0,1,0,0,0
2 4 1 PIZZA,225 THE EAST MALL,1,1,1,1,1,0,0,0,0,0,0,1,0
2 4 1 PIZZA,2291 KIPLING AVE,1,1,1,1,1,1,1,0,0,0,0,0,0
2 4 1 PIZZA,235 DIXON RD,1,1,1,1,1,1,1,0,0,0,0,0,0
2 4 1 PIZZA,2372 EGLINTON AVE E,1,1,1,1,1,1,1,0,0,0,0,0,0
2 4 1 PIZZA,2548 EGLINTON AVE W,1,1,1,1,1,1,0,0,0,0,0,0,1
2 4 1 PIZZA,2788 LAKE SHORE BLVD W,0,0,0,0,0,1,0,0,0,0,0,1,1
