address,exist_2012,exist_2013,exist_2014,exist_2015,exist_2016,exist_2017,exist_2018,change_2013,change_2014,change_2015,change_2016,change_2017,change_2018,total_turnover,annual_turnover,max_units,change_index,multi_units,LATITUDE,LONGITUDE,AREA_NAME,Esta.
1 BALMORAL AVE,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0.33333,1,0.33333,0,43.68554,-79.39341999999999,Yonge-St.Clair (97),"Barnsteiners (2015), John And Sons Oyster House (2012)"
11 ST CLAIR AVE W,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.68777,-79.39457,Yonge-St.Clair (97),Scallywags (2012)
111 ST CLAIR AVE W,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0.16667,1,0.16667,0,43.68665,-79.39950999999999,Yonge-St.Clair (97),The Market (2015)
1208 YONGE ST,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0.16667,1,0.16667,0,43.68172,-79.39171,Yonge-St.Clair (97),Boxcar Social (2014)
1210 YONGE ST,0,0,0,0,1,1,0,0,0,0,1,0,1,2,0.33333,1,0.33333,0,43.68175,-79.39174,Yonge-St.Clair (97),Clocktower Bar (2016)
1234 YONGE ST,1,1,1,1,1,1,1,0,0,0,2,0,0,2,0.33333,1,0.33333,0,43.68258,-79.39211,Yonge-St.Clair (97),"Wylies (2016), Wylies Bistro (2012)"
1240 YONGE ST,1,1,0,0,0,1,1,0,1,0,0,1,0,2,0.33333,1,0.33333,0,43.68292,-79.3922,Yonge-St.Clair (97),"Nutbar (2017), Paullys (2012)"
1246 YONGE ST,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.16667,1,0.16667,0,43.683040000000005,-79.39234,Yonge-St.Clair (97),Umami Poke (2018)
1250 YONGE ST,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.16667,1,0.16667,0,43.68312,-79.39246,Yonge-St.Clair (97),Summerhill Convenience (2012)
1272 YONGE ST,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0.16667,1,0.16667,0,43.68357,-79.39248,Yonge-St.Clair (97),Dominos (2015)
1274 YONGE ST,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0.16667,1,0.16667,0,43.68358,-79.3925,Yonge-St.Clair (97),Monks Table (2012)
1280 YONGE ST,1,1,1,1,1,0,1,0,0,0,0,1,1,2,0.33333,1,0.33333,0,43.683679999999995,-79.39253000000001,Yonge-St.Clair (97),Golden House (2012)
13 ST CLAIR AVE W,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.68775,-79.39466999999999,Yonge-St.Clair (97),Pizzaiolo (2012)
1366 YONGE ST,2,2,2,2,2,2,1,0,0,0,0,0,1,1,0.16667,2,0.08333,0,43.686040000000006,-79.39359,Yonge-St.Clair (97),"Capocaccia (2012), Pharmasave #722 (2012)"
1378 YONGE ST,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0.0,2,0.0,0,43.68625,-79.39356,Yonge-St.Clair (97),"Jingles Too (2012), Spiga (2012)"
1384 YONGE ST,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.68634,-79.3936,Yonge-St.Clair (97),Boccone Deli And Pizza Bar (2012)
1392 YONGE ST,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16667,1,0.16667,0,43.6865,-79.39365,Yonge-St.Clair (97),Sunny Morning (2013)
1404 YONGE ST,0,1,1,2,0,1,1,1,0,1,2,1,0,5,0.8333299999999999,2,0.41667,0,43.686690000000006,-79.39376,Yonge-St.Clair (97),"Baklawa House (2017), Churrasco Taste Of Algarve (2015), Udon Kappo Bushi (2013)"
